year,programTitle,Program Code,PLU,Sum Credits,location,rawfte,fte,id,count
2013-14,ACEIT Welding,ACWELD,SCH,0,PR,0,0,---,1
2013-14,ACEIT Welding,ACWELD,SCH,0,PR,0,0,---,1
2013-14,ACEIT Welding,ACWELD,SCH,0,PR,0,0,---,1
2013-14,ACEIT Welding,ACWELD,SCH,0,TE,0,0,---,1
2013-14,ACEIT Welding,ACWELD,SCH,1088.572,PR,1.295919048,1.3,---,1
2013-14,ACEIT Welding,ACWELD,SCH,1088.572,PR,1.295919048,1.3,---,1
2013-14,ACEIT Welding,ACWELD,SCH,1088.572,PR,1.295919048,1.3,---,1
2013-14,ACEIT Welding,ACWELD,SCH,1088.572,PR,1.295919048,1.3,---,1
2013-14,ACEIT Welding,ACWELD,SCH,1088.572,PR,1.295919048,1.3,---,1
2013-14,ACEIT Welding,ACWELD,SCH,1088.572,TE,1.295919048,1.3,---,1
2013-14,ACEIT Welding,ACWELD,SCH,1088.572,TE,1.295919048,1.3,---,1
2013-14,ACEIT Welding,ACWELD,SCH,1088.572,TE,1.295919048,1.3,---,1
2013-14,ACEIT Welding,ACWELD,SCH,1088.572,TE,1.295919048,1.3,---,1
2013-14,ACEIT Welding,ACWELD,SCH,1088.572,TE,1.295919048,1.3,---,1
2013-14,ACEIT Welding,ACWELD,SCH,1088.572,TE,1.295919048,1.3,---,1
2013-14,ACEIT Welding,ACWELD,SCH,0,PR,0,0,---,1
