"","year","programTitle","Program Code","PLU","Sum Credits","location","sumFTE","abo","imm","cluster","studentType"
"180","2013-14","Adult Special Education","ASE","SCH",133,"TE",0,"N","00","abe",NA
"181","2014-15","Adult Special Education","ASE","SCH",12,"TE",0.02,NA,"00","abe",NA
"182","2014-15","Adult Special Education","ASE","SCH",19,"TE",0.031666667,"Y","00","abe","fn"
"183","2014-15","Adult Special Education","ASE","SCH",364.286,"TE",0.43367381,"Y",NA,"abe","fn"
"184","2014-15","Adult Special Education","ASE","SCH",1013.286,"TE",1.206292857,NA,"00","abe",NA
"185","2014-15","Adult Special Education","ASE","SCH",3978.715,"TE",4.736565476,"Y","00","abe","fn"
"186","2014-15","Adult Special Education","ASE","SCH",1092.858,"TE",1.301021429,"N","00","abe",NA
"187","2014-15","Adult Special Education","ASE","SCH",31.5,"TE",0,"Y",NA,"abe","fn"
"188","2014-15","Adult Special Education","ASE","SCH",75,"TE",0,NA,"00","abe",NA
"189","2014-15","Adult Special Education","ASE","SCH",215,"TE",0,"Y","00","abe","fn"
"190","2014-15","Adult Special Education","ASE","SCH",58.5,"TE",0,"N","00","abe",NA
"191","2016-17","Adult Special Education","ASE","SCH",12,"TE",0.02,NA,"00","abe",NA
"192","2016-17","Adult Special Education","ASE","SCH",43.5,"TE",0.0725,"Y","00","abe","fn"
"193","2016-17","Adult Special Education","ASE","SCH",12,"TE",0.02,"N","00","abe",NA
"194","2016-17","Adult Special Education","ASE","SCH",1514.286,"TE",1.802721429,NA,"00","abe",NA
"195","2016-17","Adult Special Education","ASE","SCH",6301.145,"TE",7.501363095,"Y","00","abe","fn"
"196","2016-17","Adult Special Education","ASE","SCH",1346.429,"TE",1.602891667,"N","00","abe",NA
"197","2016-17","Adult Special Education","ASE","SCH",6,"TE",0,NA,"00","abe",NA
"198","2016-17","Adult Special Education","ASE","SCH",2.5,"TE",0,"Y","00","abe","fn"
"199","2016-17","Adult Special Education","ASE","SCH",0,"TE",0,"N","00","abe",NA
"200","2012-13","Applied Business Support","ABS","SCH",30,"TE",0.05,"Y","00","academic","fn"
"201","2010-11","Applied Business Technology","ABT","Credits",271.286,"SM",0.353236979,NA,"00","academic",NA
"202","2010-11","Applied Business Technology","ABT","Credits",86.143,"SM",0.112165365,"N","00","academic",NA
"203","2010-11","Applied Business Technology","ABT","Credits",389.286,"KI",0.506882813,NA,"00","academic",NA
"204","2010-11","Applied Business Technology","ABT","Credits",0,"KI",0,"N","00","academic",NA
"205","2010-11","Applied Business Technology","ABT","Credits",351.001,"HO",0.457032552,NA,"00","academic",NA
"206","2010-11","Applied Business Technology","ABT","Credits",131.143,"HO",0.170759115,"Y","00","academic","fn"
"207","2010-11","Applied Business Technology","ABT","Credits",2.5,"SM",0.104166667,NA,"00","academic",NA
"208","2010-11","Applied Business Technology","ABT","Credits",7,"SM",0.291666667,"N","00","academic",NA
"209","2010-11","Applied Business Technology","ABT","Credits",147.5,"ON",6.145833333,NA,"00","academic",NA
"210","2010-11","Applied Business Technology","ABT","Credits",266,"ON",11.08333333,"Y","00","academic","fn"
"211","2010-11","Applied Business Technology","ABT","Credits",227,"ON",9.458333333,"N","00","academic",NA
"212","2011-12","Applied Business Technology","ABT","Credits",0,"TE",0,NA,"00","academic",NA
"213","2011-12","Applied Business Technology","ABT","Credits",30,"TE",0.05,"Y","00","academic","fn"
"214","2011-12","Applied Business Technology","ABT","Credits",6,"TE",0.01,"N","00","academic",NA
"215","2011-12","Applied Business Technology","ABT","Credits",24,"SM",0.04,"N","00","academic",NA
"216","2011-12","Applied Business Technology","ABT","Credits",30,"PR",0.05,"Y","00","academic","fn"
"217","2011-12","Applied Business Technology","ABT","Credits",6,"MA",0.01,"Y","00","academic","fn"
"218","2011-12","Applied Business Technology","ABT","Credits",2.571,"SM",0.003347656,"Y","00","academic","fn"
"219","2011-12","Applied Business Technology","ABT","Credits",0,"SM",0,"N","00","academic",NA
